"folder_id","filename","path","folder_size","is_singleton","is_winnable","file_id","split","is_test_query","has_test_partner","taskb_role","has_reference_dir"
"DALE.109.†24","StG614.155.1.txt","data/decritals_labelled/DALE.109.†24/StG614.155.1.txt",4,False,True,0,"train",False,False,"train",False
"DALE.109.†24","StG614.156.1.txt","data/decritals_labelled/DALE.109.†24/StG614.156.1.txt",4,False,True,1,"train",False,False,"train",False
"DALE.109.†24","StG614.156.2.txt","data/decritals_labelled/DALE.109.†24/StG614.156.2.txt",4,False,True,2,"train",False,False,"train",False
"DALE.109.†24","StG614.157.1.txt","data/decritals_labelled/DALE.109.†24/StG614.157.1.txt",4,False,True,3,"test",False,False,"query",False
"DALE.109.†25","StG614.158.1.txt","data/decritals_labelled/DALE.109.†25/StG614.158.1.txt",2,False,True,4,"train",False,False,"train",False
"DALE.109.†25","StG614.159.1.txt","data/decritals_labelled/DALE.109.†25/StG614.159.1.txt",2,False,True,5,"train",False,False,"train",False
"DANA.76.†2","StG614.146.1.txt","data/decritals_labelled/DANA.76.†2/StG614.146.1.txt",2,False,True,6,"test",True,True,"reference",False
"DANA.76.†2","StG614.146.2.txt","data/decritals_labelled/DANA.76.†2/StG614.146.2.txt",2,False,True,7,"test",True,True,"query",True
"DANA.76.†3","StG614.147.1.txt","data/decritals_labelled/DANA.76.†3/StG614.147.1.txt",3,False,True,8,"train",False,False,"train",False
"DANA.76.†3","StG614.148.1.txt","data/decritals_labelled/DANA.76.†3/StG614.148.1.txt",3,False,True,9,"train",False,False,"train",False
"DANA.76.†3","StG614.148.2.txt","data/decritals_labelled/DANA.76.†3/StG614.148.2.txt",3,False,True,10,"test",False,False,"query",False
"DANA.76.†4","StG614.149.1.txt","data/decritals_labelled/DANA.76.†4/StG614.149.1.txt",4,False,True,11,"test",True,True,"query",True
"DANA.76.†4","StG614.150.1.txt","data/decritals_labelled/DANA.76.†4/StG614.150.1.txt",4,False,True,12,"train",False,True,"train",False
"DANA.76.†4","StG614.150.2.txt","data/decritals_labelled/DANA.76.†4/StG614.150.2.txt",4,False,True,13,"test",True,True,"reference",False
"DANA.76.†4","StG614.151.1.txt","data/decritals_labelled/DANA.76.†4/StG614.151.1.txt",4,False,True,14,"test",True,True,"reference",False
"DANI.155.†57","StG614.166.2.txt","data/decritals_labelled/DANI.155.†57/StG614.166.2.txt",2,False,True,15,"test",True,True,"query",True
"DANI.155.†57","StG614.167.1.txt","data/decritals_labelled/DANI.155.†57/StG614.167.1.txt",2,False,True,16,"test",True,True,"reference",False
"DBON.418.349","Brn425.32v.4.txt","data/decritals_labelled/DBON.418.349/Brn425.32v.4.txt",2,False,True,17,"train",False,False,"train",False
"DBON.418.349","D1723.535.7.txt","data/decritals_labelled/DBON.418.349/D1723.535.7.txt",2,False,True,18,"train",False,False,"train",False
"DCAL.217.†86","StG614.174.2.txt","data/decritals_labelled/DCAL.217.†86/StG614.174.2.txt",4,False,True,19,"train",False,True,"train",False
"DCAL.217.†86","StG614.175.1.txt","data/decritals_labelled/DCAL.217.†86/StG614.175.1.txt",4,False,True,20,"train",False,True,"train",False
"DCAL.217.†86","StG614.175.2.txt","data/decritals_labelled/DCAL.217.†86/StG614.175.2.txt",4,False,True,21,"test",True,True,"reference",False
"DCAL.217.†86","StG614.177.1.txt","data/decritals_labelled/DCAL.217.†86/StG614.177.1.txt",4,False,True,22,"test",True,True,"query",True
"DCEL.422.369","Brn425.12v.22.txt","data/decritals_labelled/DCEL.422.369/Brn425.12v.22.txt",8,False,True,23,"train",False,True,"train",False
"DCEL.422.369","Brn425.48v.2.txt","data/decritals_labelled/DCEL.422.369/Brn425.48v.2.txt",8,False,True,24,"test",True,True,"query",True
"DCEL.422.369","Brn425.49v.2.txt","data/decritals_labelled/DCEL.422.369/Brn425.49v.2.txt",8,False,True,25,"train",False,True,"train",False
"DCEL.422.369","Brn425.49v.3.txt","data/decritals_labelled/DCEL.422.369/Brn425.49v.3.txt",8,False,True,26,"train",False,True,"train",False
"DCEL.422.369","D1723.518.19.txt","data/decritals_labelled/DCEL.422.369/D1723.518.19.txt",8,False,True,27,"train",False,True,"train",False
