file_id,path
0,data/decritals_labelled/DALE.109.†24/StG614.155.1.txt
1,data/decritals_labelled/DALE.109.†24/StG614.156.1.txt
2,data/decritals_labelled/DALE.109.†24/StG614.156.2.txt
3,data/decritals_labelled/DALE.109.†24/StG614.157.1.txt
4,data/decritals_labelled/DALE.109.†25/StG614.158.1.txt
5,data/decritals_labelled/DALE.109.†25/StG614.159.1.txt
6,data/decritals_labelled/DANA.76.†2/StG614.146.1.txt
7,data/decritals_labelled/DANA.76.†2/StG614.146.2.txt
8,data/decritals_labelled/DANA.76.†3/StG614.147.1.txt
9,data/decritals_labelled/DANA.76.†3/StG614.148.1.txt
10,data/decritals_labelled/DANA.76.†3/StG614.148.2.txt
11,data/decritals_labelled/DANA.76.†4/StG614.149.1.txt
12,data/decritals_labelled/DANA.76.†4/StG614.150.1.txt
13,data/decritals_labelled/DANA.76.†4/StG614.150.2.txt
14,data/decritals_labelled/DANA.76.†4/StG614.151.1.txt
15,data/decritals_labelled/DANI.155.†57/StG614.166.2.txt
16,data/decritals_labelled/DANI.155.†57/StG614.167.1.txt
17,data/decritals_labelled/DBON.418.349/Brn425.32v.4.txt
18,data/decritals_labelled/DBON.418.349/D1723.535.7.txt
19,data/decritals_labelled/DCAL.217.†86/StG614.174.2.txt
20,data/decritals_labelled/DCAL.217.†86/StG614.175.1.txt
21,data/decritals_labelled/DCAL.217.†86/StG614.175.2.txt
22,data/decritals_labelled/DCAL.217.†86/StG614.177.1.txt
23,data/decritals_labelled/DCEL.422.369/Brn425.12v.22.txt
24,data/decritals_labelled/DCEL.422.369/Brn425.48v.2.txt
25,data/decritals_labelled/DCEL.422.369/Brn425.49v.2.txt
26,data/decritals_labelled/DCEL.422.369/Brn425.49v.3.txt
27,data/decritals_labelled/DCEL.422.369/D1723.518.19.txt
28,data/decritals_labelled/DCEL.422.369/D1723.548.7.txt
29,data/decritals_labelled/DCEL.422.369/D1723.549.3.txt
30,data/decritals_labelled/DCEL.422.369/D1723.549.4.txt
31,data/decritals_labelled/DCLE.88.†11/StG614.140.9.txt
32,data/decritals_labelled/DCLE.88.†11/StG614.141.1.txt
33,data/decritals_labelled/DCLE.88.†12/StG614.142.1.txt
34,data/decritals_labelled/DCLE.88.†12/StG614.142.2.txt
35,data/decritals_labelled/DCLE.88.†12/StG614.143.1.txt
36,data/decritals_labelled/DCLE.88.†13/StG614.144.1.txt
37,data/decritals_labelled/DCLE.88.†13/StG614.144.2.txt
38,data/decritals_labelled/DCLE.88.†13/StG614.145.1.txt
39,data/decritals_labelled/DEVA.100.†21/StG614.152.1.txt
40,data/decritals_labelled/DEVA.100.†21/StG614.153.1.txt
41,data/decritals_labelled/DEVA.100.†21/StG614.154.1.txt
42,data/decritals_labelled/DFEL.483.608/Brn425.16r.3.txt
43,data/decritals_labelled/DFEL.483.608/D1723.521.2.txt
44,data/decritals_labelled/DFEL.483.609/C1525.145v.1.txt
