query_file_id,query_path,query_folder_id,pos_partner_file_id,pos_partner_path,neg_partner_file_id,neg_partner_path,neg_partner_folder_id
56,/u/irowerojas/localLatin/canon/CANC.314.1/BAV1341.11r.9.txt,CANC.314.1,59,/u/irowerojas/localLatin/canon/CANC.314.1/KoeD213.20r.1.txt,219,/u/irowerojas/localLatin/canon/CANT.328.16/Hat42.171r.2.txt,CANT.328.16
59,/u/irowerojas/localLatin/canon/CANC.314.1/KoeD213.20r.1.txt,CANC.314.1,56,/u/irowerojas/localLatin/canon/CANC.314.1/BAV1341.11r.9.txt,880,/u/irowerojas/localLatin/canon/CORL.538.31/BN2123.90v.2.txt,CORL.538.31
60,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,CANC.314.10,61,/u/irowerojas/localLatin/canon/CANC.314.10/Brn425.23v.4.txt,558,/u/irowerojas/localLatin/canon/CLAO.300.26/Brn425.52r.6.txt,CLAO.300.26
61,/u/irowerojas/localLatin/canon/CANC.314.10/Brn425.23v.4.txt,CANC.314.10,60,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,150,/u/irowerojas/localLatin/canon/CANC.314.25/BN2123.99v.1.txt,CANC.314.25
65,/u/irowerojas/localLatin/canon/CANC.314.10/KoeD213.22v.1.txt,CANC.314.10,60,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,41,/u/irowerojas/localLatin/canon/CAGD.506.51/Brn425.42v.3.txt,CAGD.506.51
67,/u/irowerojas/localLatin/canon/CANC.314.11/C1525.20r.3.txt,CANC.314.11,68,/u/irowerojas/localLatin/canon/CANC.314.11/Hat42.158r.2.txt,1249,/u/irowerojas/localLatin/canon/RPCO.757.3/BAVPal582.6r.7.txt,RPCO.757.3
68,/u/irowerojas/localLatin/canon/CANC.314.11/Hat42.158r.2.txt,CANC.314.11,67,/u/irowerojas/localLatin/canon/CANC.314.11/C1525.20r.3.txt,265,/u/irowerojas/localLatin/canon/CANT.328.25/Hat42.173r.1.txt,CANT.328.25
70,/u/irowerojas/localLatin/canon/CANC.314.12/BAV1341.11v.8.txt,CANC.314.12,71,/u/irowerojas/localLatin/canon/CANC.314.12/C1525.20r.4.txt,923,/u/irowerojas/localLatin/canon/CTOL.397.6/WlfH1062.9r.4.txt,CTOL.397.6
71,/u/irowerojas/localLatin/canon/CANC.314.12/C1525.20r.4.txt,CANC.314.12,70,/u/irowerojas/localLatin/canon/CANC.314.12/BAV1341.11v.8.txt,431,/u/irowerojas/localLatin/canon/CCHA.451.5/Brn425.51v.6.txt,CCHA.451.5
75,/u/irowerojas/localLatin/canon/CANC.314.13/BN2123.101v.8.txt,CANC.314.13,76,/u/irowerojas/localLatin/canon/CANC.314.13/C1525.20r.5.txt,670,/u/irowerojas/localLatin/canon/CNEO.315.8/BAV1341.13r.1.txt,CNEO.315.8
76,/u/irowerojas/localLatin/canon/CANC.314.13/C1525.20r.5.txt,CANC.314.13,75,/u/irowerojas/localLatin/canon/CANC.314.13/BN2123.101v.8.txt,909,/u/irowerojas/localLatin/canon/CTOL.397.13/BAVPal575.4r.7.txt,CTOL.397.13
80,/u/irowerojas/localLatin/canon/CANC.314.14/C1525.20v.1.txt,CANC.314.14,81,/u/irowerojas/localLatin/canon/CANC.314.14/Hat42.158v.1.txt,179,/u/irowerojas/localLatin/canon/CANC.314.9/Brn425.55r.5.txt,CANC.314.9
81,/u/irowerojas/localLatin/canon/CANC.314.14/Hat42.158v.1.txt,CANC.314.14,80,/u/irowerojas/localLatin/canon/CANC.314.14/C1525.20v.1.txt,760,/u/irowerojas/localLatin/canon/CNIC.325.6/Hat42.152r.1.txt,CNIC.325.6
